symbol,net_pnl
NVDA,0.3530468906984242
META,0.27258568049245646
MRNA,0.2565500561765029
NFLX,0.15026792802161856
AMAT,0.13798543005161018
WDC,0.129625025307093
PLTR,0.11670383435890999
APP,0.10805767681257825
GOOGL,0.10573887282167135
LRCX,0.1020324942422462
MU,0.0997129218332634
AVGO,0.09887764186982792
AMD,0.06621445774312588
AAPL,0.05127082684491095
TSLA,0.04940222111771055
DASH,0.04843131610134292
PYPL,0.04158164058698734
WBD,0.03823608106838568
ISRG,0.03660392025095991
PEP,0.019936505601318273
CEG,0.019069336461938466
AMGN,0.018106931206658138
VRTX,0.016343709192170076
COST,0.012540145979848398
ON,0.01161357582254272
ADBE,0.0063790117058121635
MTCH,0.00030488973663833174
ABNB,0.0
QQQ,0.0
ANSS,0.0
ALXN,0.0
ALGN,0.0
AMZN,0.0
ASML,0.0
AAL,0.0
ALNY,0.0
ADP,0.0
WDAY,0.0
WMT,0.0
CHTR,0.0
CHKP,0.0
CDW,0.0
CDNS,0.0
CERN,0.0
CELG,0.0
BIDU,0.0
BKR,0.0
BKNG,0.0
BIIB,0.0
AXON,0.0
AZN,0.0
CCEP,0.0
BMRN,0.0
ADSK,0.0
AEP,0.0
ARM,0.0
ENPH,0.0
FI,0.0
FOX,0.0
EXC,0.0
CPRT,0.0
DLTR,0.0
CTSH,0.0
CTXS,0.0
DDOG,0.0
CSX,0.0
CSGP,0.0
CTAS,0.0
CMCSA,0.0
MDB,0.0
MCHP,0.0
MNST,0.0
LBTYK,0.0
ILMN,0.0
HAS,0.0
HSIC,0.0
HON,0.0
LBTYA,0.0
JBHT,0.0
JD,0.0
KDP,0.0
KHC,0.0
INCY,0.0
INSM,0.0
IDXX,0.0
MRVL,0.0
MPWR,0.0
MSFT,0.0
MELI,0.0
FANG,0.0
FAST,0.0
FER,0.0
EXPE,0.0
GEHC,0.0
GFS,0.0
FTNT,0.0
FOXA,0.0
EA,0.0
DOCU,0.0
EBAY,0.0
CSCO,0.0
XEL,0.0
XLNX,0.0
TTWO,0.0
SGEN,0.0
SWKS,0.0
SNDK,0.0
SOLS,0.0
SNPS,0.0
LIN,0.0
LCID,0.0
MAR,0.0
LULU,0.0
NTAP,0.0
NLOK,0.0
ODFL,0.0
NTES,0.0
SHOP,0.0
PANW,0.0
OKTA,0.0
PAYX,0.0
PDD,0.0
PCAR,0.0
PTON,0.0
RIVN,0.0
SIRI,0.0
ROP,0.0
ROST,0.0
SBUX,0.0
ORLY,0.0
MYL,0.0
MXIM,0.0
MSTR,0.0
ZM,0.0
ZS,0.0
WTW,0.0
VRSK,0.0
VRSN,0.0
VSNT,0.0
WBA,0.0
ULTA,0.0
TXN,0.0
TEAM,0.0
TRI,0.0
TTD,0.0
UAL,0.0
STX,0.0
TCOM,0.0
SPLK,0.0
WYNN,0.0
GOOG,-0.0007231338761346362
INTC,-0.0031678812594360247
ADI,-0.003180487385324603
MDLZ,-0.0065153295751566335
TMUS,-0.01202616176428189
NXPI,-0.013356994195473374
KLAC,-0.014864041259052004
CRWD,-0.02106699316857568
SMCI,-0.03211916778011524
GILD,-0.03722713607895437
QCOM,-0.04135189147694342
ATVI,-0.04259399712547964
INTU,-0.051059639176060476
DXCM,-0.05222531793350015
REGN,-0.07345338285466137
