symbol,net_pnl
FI,4.017299960229718
MU,0.1473273815004017
INTC,0.13621806692599167
WBD,0.12975421300236964
ALXN,0.06852575921621798
FANG,0.06593419208954106
XEL,0.06145422882888115
FOXA,0.051557160671285705
FOX,0.04045538809639197
TMUS,0.03405363842716139
EXC,0.025972795315582282
ON,0.024697333484922576
REGN,0.023351509244538503
KDP,0.0179094875788712
META,0.01753480402949864
ADI,0.012520070196020245
BKR,0.009762030434566088
PCAR,0.008651618984536345
WDC,0.007130506120073425
DLTR,0.004103776244756482
ASML,0.0
ADBE,0.0
ABNB,0.0
AAPL,0.0
ADSK,0.0
AEP,0.0
ALGN,0.0
ALNY,0.0
ADP,0.0
AMD,0.0
AMGN,0.0
AMZN,0.0
ANSS,0.0
APP,0.0
ARM,0.0
AAL,0.0
QQQ,0.0
ZM,0.0
SIRI,0.0
CERN,0.0
CHKP,0.0
CEG,0.0
CDW,0.0
CDNS,0.0
CELG,0.0
CCEP,0.0
BMRN,0.0
BKNG,0.0
BIDU,0.0
AXON,0.0
AZN,0.0
AVGO,0.0
ATVI,0.0
AMAT,0.0
EA,0.0
DOCU,0.0
DXCM,0.0
CTXS,0.0
ENPH,0.0
EXPE,0.0
EBAY,0.0
FER,0.0
DDOG,0.0
DASH,0.0
CPRT,0.0
CSX,0.0
CTSH,0.0
CRWD,0.0
COST,0.0
MDB,0.0
GOOGL,0.0
GILD,0.0
HSIC,0.0
IDXX,0.0
ILMN,0.0
INCY,0.0
HAS,0.0
INSM,0.0
INTU,0.0
JBHT,0.0
ISRG,0.0
JD,0.0
KLAC,0.0
LBTYA,0.0
HON,0.0
MPWR,0.0
LBTYK,0.0
LIN,0.0
LCID,0.0
LULU,0.0
MAR,0.0
MCHP,0.0
LRCX,0.0
GFS,0.0
FAST,0.0
FTNT,0.0
GEHC,0.0
GOOG,0.0
CSGP,0.0
CTAS,0.0
CSCO,0.0
ZS,0.0
TXN,0.0
SGEN,0.0
MRVL,0.0
MNST,0.0
MELI,0.0
MDLZ,0.0
MSFT,0.0
NTAP,0.0
NTES,0.0
NXPI,0.0
NVDA,0.0
MYL,0.0
NFLX,0.0
MTCH,0.0
MSTR,0.0
PANW,0.0
ORLY,0.0
PDD,0.0
PAYX,0.0
PLTR,0.0
PTON,0.0
PYPL,0.0
PEP,0.0
QCOM,0.0
RIVN,0.0
ROST,0.0
SBUX,0.0
ODFL,0.0
OKTA,0.0
NLOK,0.0
MXIM,0.0
XLNX,0.0
WDAY,0.0
TTWO,0.0
SHOP,0.0
SPLK,0.0
SMCI,0.0
SNPS,0.0
SNDK,0.0
TCOM,0.0
TEAM,0.0
TRI,0.0
TSLA,0.0
TTD,0.0
STX,0.0
SWKS,0.0
SOLS,0.0
WMT,0.0
VSNT,0.0
WYNN,0.0
ULTA,0.0
VRTX,0.0
VRSK,0.0
VRSN,0.0
ROP,-2.1152422975559285e-05
BIIB,-0.0023186891521494056
WTW,-0.0031398435703834226
KHC,-0.004809490963682926
CMCSA,-0.006561194075278828
CHTR,-0.006632746832419615
MRNA,-0.008535081255885962
UAL,-0.04549867433714594
WBA,-0.15213521340317596
